ID,Title,Type,Severity,Area,Steps,Expected,Actual,Evidence,Status,Comment
F-001,Invalid catalog query parameters require explicit validation,Risk,Medium,Catalog,Open the catalog with boundary query values such as pageId=0 or invalid filter IDs.,Application handles invalid parameters without 5xx errors and shows a safe fallback.,Needs validation in local run.,"TC-003, TC-004",Needs validation,"This is tracked as a validation risk, not as a confirmed production defect."
F-002,Basket persistence should be verified across anonymous-to-authenticated transition,Risk,High,Basket/Auth,"Add an item anonymously, then log in as demo-user and check basket state.",Basket behavior is consistent and documented.,Needs manual verification.,"TC-005, TC-007, TC-008",Needs validation,Important integration point between Basket and Identity.
F-003,Basket quantity boundary values should be tested,Test Design Finding,High,Basket,"Try quantity values 0, negative values, large values and non-numeric input where applicable.",Invalid quantity values are rejected or normalized safely.,Needs manual verification.,TC-006,Needs validation,Boundary checks are critical for totals and checkout.
F-004,Checkout flow has high integration risk,Risk,High,Checkout,Run a full flow: catalog -> basket -> login -> checkout -> order history.,Order is created and visible in order history.,Needs full E2E confirmation.,"TC-008, TC-009",Needs validation,This scenario crosses several modules and should be prioritized.
F-005,Admin UI depends on PublicApi availability,Observation,Medium,Admin/PublicApi,"Run Web without PublicApi, then open /admin as admin user.",Application should fail gracefully or show clear error handling.,Needs environment-specific verification.,TC-010,Open,Original README notes that admin relies on PublicApi.
F-006,Postman collection covers smoke checks only,Coverage Gap,Medium,Test Coverage,Review current API/UI smoke requests.,Smoke tests are documented as limited and complemented by manual E2E checks.,"Covered by documentation, automation can be expanded later.",postman collection,Documented,Future improvement: add Playwright or Selenium E2E tests.
F-007,Error pages should not expose stack traces,Security Test Scenario,High,Error Handling,Open invalid URLs and trigger invalid input scenarios in production-like mode.,User sees safe error page without stack trace or internal paths.,Needs validation.,"TC-011, security-checklist",Needs validation,Security-oriented negative test.
F-008,User input should be checked for HTML/JS encoding,Security Test Scenario,Medium,UI/Input,Enter HTML/JS-like payloads into available fields.,Input is encoded or rejected and never executed as script.,Needs validation.,"TC-012, security-checklist",Needs validation,Do not mark as XSS unless reproduced with evidence.
F-009,Cold start performance should be separated from steady-state performance,Observation,Low,Environment/Performance,Measure first request after start and repeated requests after warm-up.,Report separates cold start from normal response time.,Not measured in this repository.,environment.md,Open,Useful for more accurate reporting.
F-010,Docker and local run use different base URLs,Environment Risk,Low,Environment,Run via Docker and via dotnet launch profile.,Postman environment is updated to actual base URL before testing.,Documented in environment.md.,"environment.md, Postman env",Documented,Common source of false failed tests.
